上海电信,#genre#
五星体育,http://124.79.52.158:4022/udp/239.45.3.112:5140#http://116.229.55.128:4022/udp/239.45.3.112:5140#http://101.83.128.184:4022/udp/239.45.3.112:5140
东方购物HD,http://124.79.52.158:4022/udp/239.45.3.207:5140#http://116.229.55.128:4022/udp/239.45.3.207:5140#http://101.83.128.184:4022/udp/239.45.3.207:5140
东方购物HD,http://124.79.52.158:4022/udp/239.45.3.208:5140#http://116.229.55.128:4022/udp/239.45.3.208:5140#http://101.83.128.184:4022/udp/239.45.3.208:5140
欢笑剧场4K,http://124.79.52.158:4022/udp/239.45.3.196:5140#http://116.229.55.128:4022/udp/239.45.3.196:5140#http://101.83.128.184:4022/udp/239.45.3.196:5140
百事通动画4K,http://124.79.52.158:4022/udp/239.45.1.1:5140#http://116.229.55.128:4022/udp/239.45.1.1:5140#http://101.83.128.184:4022/udp/239.45.1.1:5140
欢笑剧场4K,http://124.79.52.158:4022/udp/239.45.1.4:5140#http://116.229.55.128:4022/udp/239.45.1.4:5140#http://101.83.128.184:4022/udp/239.45.1.4:5140
未知新频道,http://124.79.52.158:4022/udp/239.45.1.40:5140#http://116.229.55.128:4022/udp/239.45.1.40:5140#http://101.83.128.184:4022/udp/239.45.1.40:5140
艺术人文HD,http://124.79.52.158:4022/udp/239.45.1.41:5140#http://116.229.55.128:4022/udp/239.45.1.41:5140#http://101.83.128.184:4022/udp/239.45.1.41:5140
家有购物,http://124.79.52.158:4022/udp/239.45.1.43:5140#http://116.229.55.128:4022/udp/239.45.1.43:5140#http://101.83.128.184:4022/udp/239.45.1.43:5140
金鹰纪实HD,http://124.79.52.158:4022/udp/239.45.1.45:5140#http://116.229.55.128:4022/udp/239.45.1.45:5140#http://101.83.128.184:4022/udp/239.45.1.45:5140
法治天地HD,http://124.79.52.158:4022/udp/239.45.1.46:5140#http://116.229.55.128:4022/udp/239.45.1.46:5140#http://101.83.128.184:4022/udp/239.45.1.46:5140
百事通4K,http://124.79.52.158:4022/udp/239.45.1.42:5140#http://116.229.55.128:4022/udp/239.45.1.42:5140#http://101.83.128.184:4022/udp/239.45.1.42:5140
中国天气,http://124.79.52.158:4022/udp/239.45.1.47:5140#http://116.229.55.128:4022/udp/239.45.1.47:5140#http://101.83.128.184:4022/udp/239.45.1.47:5140
嘉佳卡通,http://124.79.52.158:4022/udp/239.45.1.48:5140#http://116.229.55.128:4022/udp/239.45.1.48:5140#http://101.83.128.184:4022/udp/239.45.1.48:5140
卡酷少儿卫视,http://124.79.52.158:4022/udp/239.45.1.49:5140#http://116.229.55.128:4022/udp/239.45.1.49:5140#http://101.83.128.184:4022/udp/239.45.1.49:5140
中国教育电视台4,http://124.79.52.158:4022/udp/239.45.1.50:5140#http://116.229.55.128:4022/udp/239.45.1.50:5140#http://101.83.128.184:4022/udp/239.45.1.50:5140
